azimuth_deg,horizon_altitude_deg,distance_m,x,y,z,valid_samples,status
11.0,0.0,,,,,0,NO_VALID_DSM
11.1,0.0,,,,,0,NO_VALID_DSM
11.2,0.0,,,,,0,NO_VALID_DSM
11.3,0.0,,,,,0,NO_VALID_DSM
11.4,0.0,,,,,0,NO_VALID_DSM
11.5,0.0,,,,,0,NO_VALID_DSM
11.6,0.0,,,,,0,NO_VALID_DSM
11.7,0.0,,,,,0,NO_VALID_DSM
11.8,0.0,,,,,0,NO_VALID_DSM
11.9,0.0,,,,,0,NO_VALID_DSM
12.0,0.0,,,,,0,NO_VALID_DSM
12.1,0.0,,,,,0,NO_VALID_DSM
12.2,0.0,,,,,0,NO_VALID_DSM
12.3,0.0,,,,,0,NO_VALID_DSM
12.4,0.0,,,,,0,NO_VALID_DSM
12.5,0.0,,,,,0,NO_VALID_DSM
12.6,0.0,,,,,0,NO_VALID_DSM
12.7,0.0,,,,,0,NO_VALID_DSM
12.8,0.0,,,,,0,NO_VALID_DSM
12.9,0.0,,,,,0,NO_VALID_DSM
13.0,0.0,,,,,0,NO_VALID_DSM
13.1,0.0,,,,,0,NO_VALID_DSM
13.2,0.0,,,,,0,NO_VALID_DSM
13.3,0.0,,,,,0,NO_VALID_DSM
13.4,0.0,,,,,0,NO_VALID_DSM
13.5,0.0,,,,,0,NO_VALID_DSM
13.6,0.0,,,,,0,NO_VALID_DSM
13.7,0.0,,,,,0,NO_VALID_DSM
13.8,0.0,,,,,0,NO_VALID_DSM
13.9,0.0,,,,,0,NO_VALID_DSM
14.0,0.0,,,,,0,NO_VALID_DSM
14.1,0.0,,,,,0,NO_VALID_DSM
14.2,0.0,,,,,0,NO_VALID_DSM
14.3,0.0,,,,,0,NO_VALID_DSM
14.4,0.0,,,,,0,NO_VALID_DSM
14.5,0.0,,,,,0,NO_VALID_DSM
14.6,0.0,,,,,0,NO_VALID_DSM
14.7,0.0,,,,,0,NO_VALID_DSM
14.8,0.0,,,,,0,NO_VALID_DSM
14.9,0.0,,,,,0,NO_VALID_DSM
15.0,0.0,,,,,0,NO_VALID_DSM
15.1,0.0,,,,,0,NO_VALID_DSM
15.2,0.0,,,,,0,NO_VALID_DSM
15.3,0.0,,,,,0,NO_VALID_DSM
15.4,0.0,,,,,0,NO_VALID_DSM
15.5,0.0,,,,,0,NO_VALID_DSM
15.6,0.0,,,,,0,NO_VALID_DSM
15.7,0.0,,,,,0,NO_VALID_DSM
15.8,0.0,,,,,0,NO_VALID_DSM
15.9,0.0,,,,,0,NO_VALID_DSM
16.0,0.0,,,,,0,NO_VALID_DSM
16.1,0.0,,,,,0,NO_VALID_DSM
16.2,0.0,,,,,0,NO_VALID_DSM
16.3,0.0,,,,,0,NO_VALID_DSM
16.4,0.0,,,,,0,NO_VALID_DSM
16.5,0.0,,,,,0,NO_VALID_DSM
16.6,0.0,,,,,0,NO_VALID_DSM
16.7,0.0,,,,,0,NO_VALID_DSM
16.8,0.0,,,,,0,NO_VALID_DSM
16.9,0.0,,,,,0,NO_VALID_DSM
17.0,0.0,,,,,0,NO_VALID_DSM
17.1,0.0,,,,,0,NO_VALID_DSM
17.2,0.0,,,,,0,NO_VALID_DSM
17.3,0.0,,,,,0,NO_VALID_DSM
17.4,0.0,,,,,0,NO_VALID_DSM
17.5,0.0,,,,,0,NO_VALID_DSM
17.6,0.0,,,,,0,NO_VALID_DSM
17.7,0.0,,,,,0,NO_VALID_DSM
17.8,0.0,,,,,0,NO_VALID_DSM
17.9,0.0,,,,,0,NO_VALID_DSM
18.0,0.0,,,,,0,NO_VALID_DSM
18.1,0.0,,,,,0,NO_VALID_DSM
18.2,0.0,,,,,0,NO_VALID_DSM
18.3,0.0,,,,,0,NO_VALID_DSM
18.4,0.0,,,,,0,NO_VALID_DSM
18.5,0.0,,,,,0,NO_VALID_DSM
18.6,0.0,,,,,0,NO_VALID_DSM
18.7,0.0,,,,,0,NO_VALID_DSM
18.8,0.0,,,,,0,NO_VALID_DSM
18.9,0.0,,,,,0,NO_VALID_DSM
19.0,0.0,,,,,0,NO_VALID_DSM
19.1,0.0,,,,,0,NO_VALID_DSM
19.2,0.0,,,,,0,NO_VALID_DSM
19.3,0.0,,,,,0,NO_VALID_DSM
19.4,0.0,,,,,0,NO_VALID_DSM
19.5,0.0,,,,,0,NO_VALID_DSM
19.6,0.0,,,,,0,NO_VALID_DSM
19.7,0.0,,,,,0,NO_VALID_DSM
19.8,0.0,,,,,0,NO_VALID_DSM
19.9,0.0,,,,,0,NO_VALID_DSM
20.0,0.0,,,,,0,NO_VALID_DSM
20.1,0.0,,,,,0,NO_VALID_DSM
20.2,0.0,,,,,0,NO_VALID_DSM
20.3,0.0,,,,,0,NO_VALID_DSM
20.4,0.0,,,,,0,NO_VALID_DSM
20.5,0.0,,,,,0,NO_VALID_DSM
20.6,0.0,,,,,0,NO_VALID_DSM
20.7,0.0,,,,,0,NO_VALID_DSM
20.8,0.0,,,,,0,NO_VALID_DSM
20.9,0.0,,,,,0,NO_VALID_DSM
21.0,0.0,,,,,0,NO_VALID_DSM
21.1,0.0,,,,,0,NO_VALID_DSM
21.2,0.0,,,,,0,NO_VALID_DSM
21.3,0.0,,,,,0,NO_VALID_DSM
21.4,0.0,,,,,0,NO_VALID_DSM
21.5,0.0,,,,,0,NO_VALID_DSM
21.6,0.0,,,,,0,NO_VALID_DSM
21.7,0.0,,,,,0,NO_VALID_DSM
21.8,0.0,,,,,0,NO_VALID_DSM
21.9,0.0,,,,,0,NO_VALID_DSM
22.0,0.0,,,,,0,NO_VALID_DSM
22.1,0.0,,,,,0,NO_VALID_DSM
22.2,0.0,,,,,0,NO_VALID_DSM
22.3,0.0,,,,,0,NO_VALID_DSM
22.4,0.0,,,,,0,NO_VALID_DSM
22.5,0.0,,,,,0,NO_VALID_DSM
22.6,0.0,,,,,0,NO_VALID_DSM
22.7,0.0,,,,,0,NO_VALID_DSM
22.8,0.0,,,,,0,NO_VALID_DSM
22.9,0.0,,,,,0,NO_VALID_DSM
23.0,0.0,,,,,0,NO_VALID_DSM
23.1,0.0,,,,,0,NO_VALID_DSM
23.2,0.0,,,,,0,NO_VALID_DSM
23.3,0.0,,,,,0,NO_VALID_DSM
23.4,0.0,,,,,0,NO_VALID_DSM
23.5,0.0,,,,,0,NO_VALID_DSM
23.6,0.0,,,,,0,NO_VALID_DSM
23.7,0.0,,,,,0,NO_VALID_DSM
23.8,0.0,,,,,0,NO_VALID_DSM
23.9,0.0,,,,,0,NO_VALID_DSM
24.0,0.0,,,,,0,NO_VALID_DSM
24.1,0.0,,,,,0,NO_VALID_DSM
24.2,0.0,,,,,0,NO_VALID_DSM
24.3,0.0,,,,,0,NO_VALID_DSM
24.4,0.0,,,,,0,NO_VALID_DSM
24.5,0.0,,,,,0,NO_VALID_DSM
24.6,0.0,,,,,0,NO_VALID_DSM
24.7,0.0,,,,,0,NO_VALID_DSM
24.8,0.0,,,,,0,NO_VALID_DSM
24.9,0.0,,,,,0,NO_VALID_DSM
25.0,0.0,,,,,0,NO_VALID_DSM
25.1,0.0,,,,,0,NO_VALID_DSM
25.2,0.0,,,,,0,NO_VALID_DSM
25.3,0.0,,,,,0,NO_VALID_DSM
25.4,0.0,,,,,0,NO_VALID_DSM
25.5,0.0,,,,,0,NO_VALID_DSM
25.6,0.0,,,,,0,NO_VALID_DSM
25.7,0.0,,,,,0,NO_VALID_DSM
25.8,0.0,,,,,0,NO_VALID_DSM
25.9,0.0,,,,,0,NO_VALID_DSM
26.0,0.0,,,,,0,NO_VALID_DSM
26.1,0.0,,,,,0,NO_VALID_DSM
26.2,0.0,,,,,0,NO_VALID_DSM
26.3,0.0,,,,,0,NO_VALID_DSM
26.4,0.0,,,,,0,NO_VALID_DSM
26.5,0.0,,,,,0,NO_VALID_DSM
26.6,0.0,,,,,0,NO_VALID_DSM
26.7,0.0,,,,,0,NO_VALID_DSM
26.8,0.0,,,,,0,NO_VALID_DSM
26.9,0.0,,,,,0,NO_VALID_DSM
27.0,0.0,,,,,0,NO_VALID_DSM
27.1,0.0,,,,,0,NO_VALID_DSM
27.2,0.0,,,,,0,NO_VALID_DSM
27.3,0.0,,,,,0,NO_VALID_DSM
27.4,0.0,,,,,0,NO_VALID_DSM
27.5,0.0,,,,,0,NO_VALID_DSM
27.6,0.0,,,,,0,NO_VALID_DSM
27.7,0.0,,,,,0,NO_VALID_DSM
27.8,0.0,,,,,0,NO_VALID_DSM
27.9,0.0,,,,,0,NO_VALID_DSM
28.0,0.0,,,,,0,NO_VALID_DSM
28.1,0.0,,,,,0,NO_VALID_DSM
28.2,0.0,,,,,0,NO_VALID_DSM
28.3,0.0,,,,,0,NO_VALID_DSM
28.4,0.0,,,,,0,NO_VALID_DSM
28.5,0.0,,,,,0,NO_VALID_DSM
28.6,0.0,,,,,0,NO_VALID_DSM
28.7,0.0,,,,,0,NO_VALID_DSM
28.8,0.0,,,,,0,NO_VALID_DSM
28.9,0.0,,,,,0,NO_VALID_DSM
29.0,0.0,,,,,0,NO_VALID_DSM
